"飯店縣市","入住日期","退房日期","訂房日期","訂房數量","交易金額","歲數","性別","所在地址","IsForeigner"
"台南市",2014/01/29,2014/01/30,"2014/1/3 下午 11:30:03",1,3300,54,"女","高雄市","本國"
"台南市",2014/02/07,2014/02/08,"2014/1/30 上午 10:29:30",1,6160,56,"女","桃園市","本國"
"台南市",2014/03/07,2014/03/08,"2014/1/30 下午 05:33:30",1,3500,33,"男","非台灣地區","外國"
"台南市",2014/01/17,2014/01/18,"2014/1/4 上午 08:17:04",1,3500,58,"男","台中市","本國"
"台南市",2014/01/23,2014/01/24,"2014/1/4 上午 10:10:04",1,3000,38,"女","台北市","本國"
"花蓮縣",2014/01/08,2014/01/09,"2014/1/4 下午 02:21:21",1,2880,40,"男","新北市","本國"
"台南市",2014/02/04,2014/02/05,"2014/1/4 下午 05:59:04",2,7000,38,"女","台北市","本國"
"台南市",2014/02/04,2014/02/05,"2014/1/4 下午 06:01:04",1,3500,38,"女","非台灣地區","外國"
"台南市",2014/01/19,2014/01/24,"2014/1/4 下午 08:24:04",1,15000,24,"男","台北市","本國"
"台南市",2014/02/04,2014/02/05,"2014/1/4 下午 11:43:04",1,3500,40,"女","台北市","本國"
"台北市",2014/01/08,2014/01/11,"2014/1/4 下午 12:01:04",1,8900,52,"男","台北市","本國"
"台南市",2014/01/27,2014/01/28,"2014/1/5 上午 12:12:05",1,5199,45,"女","嘉義縣","本國"
"台南市",2014/01/21,2014/01/22,"2014/1/5 下午 01:09:05",1,5760,26,"女","非台灣地區","外國"
"台南市",2014/02/16,2014/02/17,"2014/1/5 下午 02:43:05",1,2499,41,"男","桃園縣","本國"
"花蓮縣",2014/01/10,2014/01/11,"2014/1/6 上午 09:37:06",1,2880,43,"女","新北市","本國"
"台南市",2014/01/15,2014/01/16,"2014/1/6 下午 01:22:06",1,3500,39,"女","新北市","本國"
"台南市",2014/02/05,2014/02/06,"2014/1/6 下午 05:17:55",1,4480,48,"女","非台灣地區","外國"
"台南市",2014/01/22,2014/01/23,"2014/1/6 下午 08:37:06",1,3000,56,"男","彰化縣","本國"
"花蓮縣",2014/02/08,2014/02/09,"2014/1/6 下午 10:10:06",1,3840,48,"女","高雄市","本國"
"花蓮縣",2014/03/01,2014/03/02,"2014/1/7 上午 12:23:07",1,4320,39,"女","非台灣地區","外國"
"台北市",2014/02/10,2014/02/11,"2014/1/7 下午 01:07:07",1,2900,32,"女","新竹市","本國"
"台北市",2014/02/12,2014/02/14,"2014/1/7 下午 01:11:07",1,5800,32,"女","台北市","本國"
"台南市",2014/01/27,2014/01/28,"2014/1/7 下午 02:35:07",1,5760,46,"女","桃園縣","本國"
"台南市",2014/01/28,2014/01/29,"2014/1/7 下午 02:38:07",1,5760,46,"男","新北市","本國"
"台南市",2014/01/17,2014/01/18,"2014/1/7 下午 07:22:07",1,3000,39,"女","新北市","本國"
"台南市",2014/01/22,2014/01/23,"2014/1/7 下午 08:05:07",1,3000,48,"男","台中市","本國"
"花蓮縣",2014/02/08,2014/02/09,"2014/1/8 上午 07:51:08",1,3840,42,"女","新北市","本國"
"台南市",2014/02/16,2014/02/17,"2014/1/8 上午 11:00:08",1,3500,41,"女","基隆市","本國"
"台南市",2014/01/21,2014/01/22,"2014/1/8 上午 11:58:37",1,3000,37,"男","台中市","本國"
"台南市",2014/01/10,2014/01/11,"2014/1/8 下午 06:04:08",1,6880,54,"女","台北市","本國"
"台北市",2014/02/22,2014/02/23,"2014/1/8 下午 12:25:08",1,3100,39,"女","新北市","本國"
"花蓮縣",2014/01/29,2014/01/30,"2014/1/9 上午 09:04:23",1,2880,57,"女","高雄市","本國"
"台南市",2014/01/16,2014/01/17,"2014/1/9 上午 10:03:09",1,3500,40,"男","新北市","本國"
"台北市",2014/03/06,2014/03/07,"2014/1/9 上午 10:49:09",1,3800,30,"女","新北市","本國"
"台北市",2014/03/09,2014/03/11,"2014/1/9 上午 10:55:09",1,7600,30,"男","高雄市","本國"
"台南市",2014/01/24,2014/01/25,"2014/1/9 上午 10:56:09",1,2499,30,"男","台北市","本國"
"台北市",2014/02/08,2014/02/09,"2014/1/9 上午 11:01:09",1,3100,35,"女","台南市","本國"
"台南市",2014/02/04,2014/02/05,"2014/1/9 下午 03:05:27",1,3990,57,"女","高雄市","本國"
"台南市",2014/02/04,2014/02/05,"2014/1/9 下午 03:06:28",1,4480,57,"男","台中市","本國"
"台南市",2014/01/26,2014/01/27,"2014/1/9 下午 04:59:50",1,3300,45,"男","高雄市","本國"
"台南市",2014/01/26,2014/01/27,"2014/1/9 下午 05:00:21",1,3300,45,"男","彰化縣","本國"
"台北市",2014/01/12,2014/01/14,"2014/1/9 下午 05:33:09",1,5800,35,"男","台北市","本國"
"台北市",2014/01/24,2014/01/26,"2014/1/9 下午 11:00:09",1,6200,44,"女","桃園縣","本國"
"臺東縣",2014/10/02,2014/10/03,"2014/10/1 上午 10:57:46",1,3360,40,"男","新北市","本國"
"台南市",2014/10/06,2014/10/07,"2014/10/1 下午 03:59:01",1,5900,57,"男","台北市","本國"
"花蓮縣",2014/11/09,2014/11/10,"2014/10/1 下午 10:16:01",2,5760,53,"女","桃園縣","本國"
"台南市",2014/10/03,2014/10/04,"2014/10/1 下午 11:35:01",1,2499,51,"女","非台灣地區","外國"
"台北市",2014/11/21,2014/11/22,"2014/10/10 上午 01:59:10",2,6600,40,"女","苗粟縣","本國"
"台南市",2014/10/13,2014/10/16,"2014/10/10 下午 02:34:10",1,7497,60,"女","台北市","本國"
"台南市",2014/10/17,2014/10/18,"2014/10/10 下午 02:38:10",1,2499,60,"女","彰化縣","本國"
"台南市",2014/10/12,2014/10/13,"2014/10/10 下午 02:43:10",1,3500,60,"女","彰化縣","本國"
"台南市",2014/10/16,2014/10/17,"2014/10/10 下午 02:48:10",1,3500,60,"女","新竹市","本國"
"台南市",2014/10/26,2014/10/27,"2014/10/10 下午 04:04:10",1,2499,38,"男","台北市","本國"
"臺東縣",2014/10/14,2014/10/15,"2014/10/11 上午 10:06:11",1,3360,44,"男","台中市","本國"
"花蓮縣",2014/10/31,2014/11/01,"2014/10/11 下午 03:59:11",1,2880,54,"女","非台灣地區","外國"
"台南市",2014/10/30,2014/11/01,"2014/10/11 下午 08:00:11",1,4998,44,"女","信義路","本國"
"台南市",2014/10/16,2014/10/17,"2014/10/11 下午 09:18:11",1,4299,58,"女","新竹市","本國"
"台南市",2014/11/08,2014/11/09,"2014/10/12 上午 08:39:12",1,4000,49,"女","台中市","本國"
"台南市",2014/10/13,2014/10/14,"2014/10/12 下午 12:13:12",1,3500,47,"男","新北市","本國"
"台南市",2014/10/17,2014/10/18,"2014/10/13 下午 01:59:13",1,3500,50,"男","新竹市","本國"
"台南市",2014/11/02,2014/11/03,"2014/10/13 下午 09:13:13",1,5599,43,"女","台北市","本國"
"台南市",2014/10/21,2014/10/22,"2014/10/13 下午 10:12:13",1,3500,57,"男","非台灣地區","外國"
"台南市",2014/10/27,2014/10/28,"2014/10/14 上午 09:06:14",1,2600,32,"女","非台灣地區","外國"
"台南市",2015/01/16,2015/01/17,"2014/10/14 上午 09:48:14",1,6000,35,"男","台北市","本國"
"台南市",2014/10/26,2014/10/27,"2014/10/14 上午 11:37:14",1,3500,38,"女","新北市","本國"
"台南市",2014/10/15,2014/10/16,"2014/10/14 下午 01:54:14",1,3500,40,"女","新竹縣","本國"
"台中市",2014/11/08,2014/11/09,"2014/10/14 下午 02:26:14",1,2600,54,"女","新竹市","本國"
"台南市",2014/10/31,2014/11/01,"2014/10/14 下午 03:15:14",1,2499,31,"男","台南市","本國"
"台南市",2014/11/10,2014/11/12,"2014/10/14 下午 07:53:14",1,15400,44,"女","非台灣地區","外國"
"台南市",2014/10/19,2014/10/21,"2014/10/14 下午 12:03:14",1,7000,31,"女","非台灣地區","外國"
"台南市",2014/11/08,2014/11/09,"2014/10/15 上午 10:53:15",1,6300,61,"男","高雄市","本國"
"台南市",2014/10/17,2014/10/18,"2014/10/15 上午 12:01:15",1,3500,36,"男","台南市","本國"
"台南市",2014/10/17,2014/10/18,"2014/10/15 下午 02:51:15",1,3500,53,"女","台北市","本國"
"花蓮縣",2014/10/29,2014/10/30,"2014/10/16 上午 01:27:16",1,2880,55,"男","台北市","本國"
"花蓮縣",2014/10/29,2014/10/30,"2014/10/16 上午 01:31:16",1,2880,55,"男","臺東縣","本國"
"花蓮縣",2014/12/31,2015/01/01,"2014/10/16 上午 07:55:16",1,2880,42,"男","台北市","本國"
"花蓮縣",2014/12/22,2014/12/24,"2014/10/16 上午 10:48:16",1,5760,46,"男","台南市","本國"
