City,Checkin Date,Checkout Date,Booked Time,Quantity,Amount,Age,Gender,Hometown,isForeigner
west,2014-02-16,2014-02-17,2014-01-08 11:00:08,1,3500,41,female,highest,no
west,2014-01-21,2014-01-22,2014-01-08 11:58:37,1,3000,37,male,high,no
west,2014-01-10,2014-01-11,2014-01-08 18:04:08,1,6880,54,female,highest,no
city,2014-02-22,2014-02-23,2014-01-08 12:25:08,1,3100,39,female,high,no
east,2014-01-29,2014-01-30,2014-01-09 09:04:23,1,2880,57,female,high,no
west,2014-01-16,2014-01-17,2014-01-09 10:03:09,1,3500,40,male,high,no
city,2014-03-06,2014-03-07,2014-01-09 10:49:09,1,3800,30,female,high,no
city,2014-03-09,2014-03-11,2014-01-09 10:55:09,1,7600,30,male,high,no
west,2014-01-24,2014-01-25,2014-01-09 10:56:09,1,2499,30,male,highest,no
city,2014-02-08,2014-02-09,2014-01-09 11:01:09,1,3100,35,female,low,no
west,2014-02-04,2014-02-05,2014-01-09 15:05:27,1,3990,57,female,high,no
west,2014-02-04,2014-02-05,2014-01-09 15:06:28,1,4480,57,male,high,no
west,2014-01-26,2014-01-27,2014-01-09 16:59:50,1,3300,45,male,high,no
west,2014-01-26,2014-01-27,2014-01-09 17:00:21,1,3300,45,male,lowest,no
city,2014-01-12,2014-01-14,2014-01-09 17:33:09,1,5800,35,male,highest,no
city,2014-01-24,2014-01-26,2014-01-09 23:00:09,1,6200,44,female,highest,no
east,2014-10-02,2014-10-03,2014-10-01 10:57:46,1,3360,40,male,high,no
west,2014-10-06,2014-10-07,2014-10-01 15:59:01,1,5900,57,male,highest,no
east,2014-11-09,2014-11-10,2014-10-01 22:16:01,2,5760,53,female,highest,no
west,2014-10-03,2014-10-04,2014-10-01 23:35:01,1,2499,51,female,foreign,yes
city,2014-11-21,2014-11-22,2014-10-10 01:59:10,2,6600,40,female,others,no
west,2014-10-13,2014-10-16,2014-10-10 14:34:10,1,7497,60,female,highest,no
west,2014-10-17,2014-10-18,2014-10-10 14:38:10,1,2499,60,female,lowest,no
west,2014-10-12,2014-10-13,2014-10-10 14:43:10,1,3500,60,female,lowest,no
west,2014-10-16,2014-10-17,2014-10-10 14:48:10,1,3500,60,female,highest,no
west,2014-10-26,2014-10-27,2014-10-10 16:04:10,1,2499,38,male,highest,no
east,2014-10-14,2014-10-15,2014-10-11 10:06:11,1,3360,44,male,high,no
east,2014-10-31,2014-11-01,2014-10-11 15:59:11,1,2880,54,female,foreign,yes
west,2014-10-30,2014-11-01,2014-10-11 20:00:11,1,4998,44,female,others,no
west,2014-10-16,2014-10-17,2014-10-11 21:18:11,1,4299,58,female,highest,no
west,2014-11-08,2014-11-09,2014-10-12 08:39:12,1,4000,49,female,high,no
west,2014-10-13,2014-10-14,2014-10-12 12:13:12,1,3500,47,male,high,no
west,2014-10-17,2014-10-18,2014-10-13 13:59:13,1,3500,50,male,highest,no
west,2014-11-02,2014-11-03,2014-10-13 21:13:13,1,5599,43,female,highest,no
west,2014-10-21,2014-10-22,2014-10-13 22:12:13,1,3500,57,male,foreign,yes
west,2014-10-27,2014-10-28,2014-10-14 09:06:14,1,2600,32,female,foreign,yes
west,2015-01-16,2015-01-17,2014-10-14 09:48:14,1,6000,35,male,highest,no
west,2014-10-26,2014-10-27,2014-10-14 11:37:14,1,3500,38,female,high,no
west,2014-10-15,2014-10-16,2014-10-14 13:54:14,1,3500,40,female,highest,no
city,2014-11-08,2014-11-09,2014-10-14 14:26:14,1,2600,54,female,highest,no
west,2014-10-31,2014-11-01,2014-10-14 15:15:14,1,2499,31,male,low,no
west,2014-11-10,2014-11-12,2014-10-14 19:53:14,1,15400,44,female,foreign,yes
west,2014-10-19,2014-10-21,2014-10-14 12:03:14,1,7000,31,female,foreign,yes
west,2014-11-08,2014-11-09,2014-10-15 10:53:15,1,6300,61,male,high,no
west,2014-10-17,2014-10-18,2014-10-15 00:01:15,1,3500,36,male,low,no
west,2014-10-17,2014-10-18,2014-10-15 14:51:15,1,3500,53,female,highest,no
east,2014-10-29,2014-10-30,2014-10-16 01:27:16,1,2880,55,male,highest,no
east,2014-10-29,2014-10-30,2014-10-16 01:31:16,1,2880,55,male,lowest,no
east,2014-12-31,2015-01-01,2014-10-16 07:55:16,1,2880,42,male,highest,no
east,2014-12-22,2014-12-24,2014-10-16 10:48:16,1,5760,46,male,low,no
west,2014-12-12,2014-12-13,2014-10-16 16:28:16,1,3500,36,female,highest,no
west,2014-10-23,2014-10-24,2014-10-16 17:42:16,1,2800,30,female,highest,no
west,2014-11-02,2014-11-03,2014-10-16 19:27:16,1,3099,67,male,highest,no
west,2014-11-28,2014-11-29,2014-10-16 22:03:16,1,2800,44,male,high,no
west,2014-11-28,2014-11-29,2014-10-16 22:09:16,1,3780,44,female,highest,no
